Organism,ToL ID,INSDC ID,Common Name,Current status,External references
Nymphalis io,"ilAglIoxx2, ilAglIoxx3, ilAglIoxx4",PRJEB42080,-,Annotation Complete,https://goat.genomehubs.org/records?record_id=171585&result=taxon&taxonomy=ncbi#Nymphalis io;https://tolqc.cog.sanger.ac.uk/darwin/insects/Nymphalis-io;https://wellcomeopenresearch.org/articles/6-258/v1
Bombus sylvestris,iyBomSyle1,PRJEB45106,Forest Cuckoo Bee,Annotation Complete,https://goat.genomehubs.org/records?record_id=30201&result=taxon&taxonomy=ncbi#Bombus sylvestris;https://tolqc.cog.sanger.ac.uk/darwin/insects/Bombus-sylvestris;https://wellcomeopenresearch.org/articles/8-78/v1
Hecatera dysodea,ilHecDyso1,PRJEB43521,Small Ranunculus,Annotation Complete,https://goat.genomehubs.org/records?record_id=988125&result=taxon&taxonomy=ncbi#Hecatera dysodea;https://tolqc.cog.sanger.ac.uk/darwin/insects/Hecatera-dysodea;https://wellcomeopenresearch.org/articles/8-101/v1
Glyphotaelius pellucidus,"iiGlyPell1, iiGlyPell4, iiGlyPell5, iiGlyPell3, iiGlyPell2",PRJEB50786,-,Annotation Complete,https://goat.genomehubs.org/records?record_id=1271742&result=taxon&taxonomy=ncbi#Glyphotaelius pellucidus;https://tolqc.cog.sanger.ac.uk/darwin/insects/Glyphotaelius-pellucidus;https://wellcomeopenresearch.org/articles/8-102/v1
Tinea semifulvella,"ilTinSemi3, ilTinSemi4, ilTinSemi2, ilTinSemi1",PRJEB45113,-,Annotation Complete,https://goat.genomehubs.org/records?record_id=1101063&result=taxon&taxonomy=ncbi#Tinea semifulvella;https://tolqc.cog.sanger.ac.uk/darwin/insects/Tinea-semifulvella;https://wellcomeopenresearch.org/articles/8-104/v1
Machimus atricapillus,"idMacAtri2, idMacAtri1, idMacAtri4, idMacAtri3",PRJEB50870,Kite-tailed Robberfly,Annotation Complete,https://goat.genomehubs.org/records?record_id=2794001&result=taxon&taxonomy=ncbi#Machimus atricapillus;https://tolqc.cog.sanger.ac.uk/darwin/insects/Machimus-atricapillus;https://wellcomeopenresearch.org/articles/8-113/v1
Stenoptilia bipunctidactyla,"ilSteBipu1, ilSteBipu2, ilSteBipu3",PRJEB53158,-,Annotation Complete,https://goat.genomehubs.org/records?record_id=1660692&result=taxon&taxonomy=ncbi#Stenoptilia bipunctidactyla;https://tolqc.cog.sanger.ac.uk/darwin/insects/Stenoptilia-bipunctidactyla;https://wellcomeopenresearch.org/articles/8-103/v1
Euclidia mi,"ilEucMixx2, ilEucMixx1",PRJEB53246,Mother Shipton,Annotation Complete,https://goat.genomehubs.org/records?record_id=938167&result=taxon&taxonomy=ncbi#Euclidia mi;https://tolqc.cog.sanger.ac.uk/darwin/insects/Euclidia-mi;https://wellcomeopenresearch.org/articles/8-108/v1
Thera britannica,ilTheBrit1,PRJEB52208,Spruce Carpet,Annotation Complete,https://goat.genomehubs.org/records?record_id=987013&result=taxon&taxonomy=ncbi#Thera britannica;https://tolqc.cog.sanger.ac.uk/darwin/insects/Thera-britannica;https://wellcomeopenresearch.org/articles/8-114/v1
Buathra laborator,iyBuaLabo1,PRJEB50478,-,Annotation Complete,https://goat.genomehubs.org/records?record_id=1419289&result=taxon&taxonomy=ncbi#Buathra laborator;https://tolqc.cog.sanger.ac.uk/darwin/insects/Buathra-laborator;https://wellcomeopenresearch.org/articles/8-7/v1
